POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
705-07060,-,0,Grey,SS,N,N,SFMTA,ON,0,706,VALLEJO ST,13095000,Area 3,,"(37.7985851009, -122.4091644005)"
207-01060,-,0,Grey,SS,N,N,SFMTA,ON,0,106,07TH ST,368000,Area 2,,"(37.7789735989, -122.4107902997)"
207-02020,-,0,Grey,SS,N,N,SFMTA,ON,0,202,07TH ST,371000,Area 2,,"(37.7778349006, -122.4093564020)"
207-02270,-,0,Grey,SS,N,N,SFMTA,ON,0,227,07TH ST,371000,Area 2,,"(37.7775309001, -122.4086700023)"
606-06110,-,0,Grey,SS,N,N,SFMTA,ON,0,611,PINE ST,10465000,Area 2,,"(37.7913776980, -122.4061767996)"
606-06140,-,0,Grey,SS,N,N,SFMTA,ON,0,614,PINE ST,10465000,Area 2,,"(37.7914890991, -122.4062828978)"
616-12260,-,0,Grey,SS,N,N,SFMTA,ON,0,1226,POWELL ST,10690000,Area 3,,"(37.7962997974, -122.4099477005)"
563-02340,563-02002,34,Grey,MS,Y,N,SFMTA,ON,0,234,MCALLISTER ST,8892000,Area 5,Civic Center,"(37.7806087014, -122.4166752004)"
411-00330,411-00003,33,Grey,MS,Y,N,SFMTA,ON,0,33,FELL ST,5439000,Area 5,Civic Center,"(37.7763712973, -122.4189484005)"
547-00380,-,0,Grey,SS,Y,N,SFMTA,ON,0,38,LECH WALESA ST,8277000,Area 5,Civic Center,"(37.7778447018, -122.4194203016)"
701-00240,701-00002,24,Yellow,MS,Y,N,SFMTA,ON,0,24,VAN NESS AVE,13143201,Area 5,Civic Center,"(37.7761281998, -122.4192897004)"
664-08080,-,0,Yellow,SS,N,N,SFMTA,ON,0,808,STOCKTON ST,12204000,Area 2,,"(37.7934402999, -122.4077039992)"
208-02510,-,0,Grey,SS,N,N,SFMTA,ON,0,251,08TH ST,411000,Area 2,,"(37.7753189997, -122.4103335028)"
470-11480,-,0,Green,SS,N,N,SFMTA,ON,0,1148,HOWARD ST,7049000,Area 2,,"(37.7771284011, -122.4106027016)"
470-11550,-,0,Grey,SS,N,N,SFMTA,ON,0,1155,HOWARD ST,7049000,Area 2,,"(37.7769150984, -122.4105856975)"
470-09450,-,0,Grey,SS,N,N,SFMTA,ON,0,945,HOWARD ST,7042000,Area 2,,"(37.7806292985, -122.4058865008)"
470-09510,-,0,Grey,SS,N,N,SFMTA,ON,0,951,HOWARD ST,7042000,Area 2,,"(37.7804902987, -122.4060624984)"
470-09630,-,0,Grey,SS,N,N,SFMTA,ON,0,963,HOWARD ST,7042000,Area 2,,"(37.7803481975, -122.4062422008)"
470-10010,-,0,Grey,SS,N,N,SFMTA,ON,0,1001,HOWARD ST,7043000,Area 2,,"(37.7795502012, -122.4072531980)"
330-05080,-,0,Grey,SS,Y,N,SFMTA,ON,0,508,BRANNAN ST,3080000,Area 5,South Embarcadero,"(37.7781337992, -122.3969264978)"
330-05060,-,0,Grey,SS,Y,N,SFMTA,ON,0,506,BRANNAN ST,3080000,Area 5,South Embarcadero,"(37.7781719983, -122.3968782012)"
471-02040,-,0,Grey,SS,N,N,SFMTA,ON,0,204,HARRISON ST,6709000,Area 5,South Embarcadero,"(37.7880708975, -122.3905620013)"
684-03302,684-03300,2,Grey,MS,Y,N,SFMTA,ON,0,330,TOWNSEND ST,12663000,Area 5,South Embarcadero,"(37.7766335045, -122.3957445155)"
684-03819,684-03810,9,Grey,MS,Y,N,SFMTA,ON,0,381,TOWNSEND ST,12663000,Area 5,South Embarcadero,"(37.7753860035, -122.3969343155)"
339-01660,-,0,Grey,SS,Y,N,SFMTA,ON,0,166,BERRY ST,2953000,Area 5,South Embarcadero,"(37.7762774982, -122.3928471987)"
339-01680,-,0,Grey,SS,Y,N,SFMTA,ON,0,168,BERRY ST,2953000,Area 5,South Embarcadero,"(37.7762405005, -122.3928938021)"
339-01740,-,0,Grey,SS,Y,N,SFMTA,ON,0,174,BERRY ST,2953000,Area 5,South Embarcadero,"(37.7761574023, -122.3929990006)"
205-06220,-,0,Grey,SS,Y,N,SFMTA,ON,0,622,05TH ST,306000,Area 5,South Embarcadero,"(37.7760316011, -122.3982352984)"
339-01840,-,0,Grey,SS,Y,N,SFMTA,ON,0,184,BERRY ST,2953000,Area 5,South Embarcadero,"(37.7760314000, -122.3931587988)"
471-08240,-,0,Grey,SS,Y,N,SFMTA,ON,0,824,HARRISON ST,6719000,Area 5,South Embarcadero,"(37.7802340974, -122.4004845989)"
471-08320,-,0,Grey,SS,Y,N,SFMTA,ON,0,832,HARRISON ST,6719000,Area 5,South Embarcadero,"(37.7800826979, -122.4006769021)"
340-00844,-,0,Grey,SS,Y,N,SFMTA,ON,0,84,BLUXOME ST,2993000,Area 5,South Embarcadero,"(37.7761862025, -122.3978077990)"
