POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
359-09240,-,0,Grey,SS,N,N,SFMTA,ON,0,924,CLAY ST,4093000,Area 3,,"(37.7939895996, -122.4087761004)"
209-04370,-,0,Grey,SS,N,N,SFMTA,ON,0,437,09TH ST,458000,Area 3,,"(37.7717493986, -122.4089402013)"
209-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,09TH ST,459000,Area 3,,"(37.7712515973, -122.4083153025)"
209-05070,-,0,Grey,SS,N,N,SFMTA,ON,0,507,09TH ST,459000,Area 3,,"(37.7711418000, -122.4081772973)"
210-03090,-,0,Grey,SS,N,N,SFMTA,ON,0,309,10TH ST,488000,Area 3,,"(37.7725928974, -122.4124028997)"
210-03300,-,0,Grey,SS,N,N,SFMTA,ON,0,330,10TH ST,488000,Area 3,,"(37.7721761995, -122.4121734981)"
210-03610,-,0,Grey,SS,N,N,SFMTA,ON,0,361,10TH ST,489000,Area 3,,"(37.7717347973, -122.4113273003)"
590-01240,-,0,Grey,SS,Y,N,SFMTA,ON,0,124,OAK ST,9751000,Area 5,Civic Center,"(37.7752006975, -122.4217100979)"
442-07040,-,0,Grey,SS,Y,N,SFMTA,ON,0,704,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.7808611979, -122.4223038999)"
210-04580,-,0,Grey,SS,N,N,SFMTA,ON,0,458,10TH ST,490000,Area 3,,"(37.7703797006, -122.4099213981)"
327-03130,-,0,Grey,SS,N,N,SFMTA,ON,0,313,BROADWAY,3146000,Area 3,,"(37.7982882028, -122.4027095974)"
442-07380,-,0,Green,SS,Y,N,SFMTA,ON,0,738,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.7807270986, -122.4233570022)"
442-07400,-,0,Grey,SS,Y,N,SFMTA,ON,0,740,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.7807172974, -122.4234334004)"
330-09600,-,0,Grey,SS,N,N,SFMTA,ON,0,960,BRANNAN ST,3089000,Area 3,,"(37.7702133980, -122.4069567022)"
327-05180,-,0,Yellow,SS,N,N,SFMTA,ON,0,518,BROADWAY,3151000,Area 3,,"(37.7980187972, -122.4060832017)"
359-16350,-,0,Grey,SS,N,N,SFMTA,ON,0,1635,CLAY ST,4105000,Area 3,,"(37.7924254023, -122.4202973002)"
359-17260,-,0,Grey,SS,N,N,SFMTA,ON,0,1726,CLAY ST,4106000,Area 3,,"(37.7923481994, -122.4217525997)"
614-10070,-,0,Grey,SS,N,N,SFMTA,ON,0,1007,POST ST,10639000,Area 3,,"(37.7869268012, -122.4186151975)"
502-00160,-,0,Grey,SS,N,N,SFMTA,ON,0,16,JONES ST,7563000,Area 2,,"(37.7816058014, -122.4120548998)"
502-00180,-,0,Grey,SS,N,N,SFMTA,ON,0,18,JONES ST,7563000,Area 2,,"(37.7816558023, -122.4120653995)"
470-15100,-,0,Grey,SS,N,N,SFMTA,ON,0,1510,HOWARD ST,7057000,Area 3,,"(37.7729074982, -122.4159396996)"
444-12160,-,0,Yellow,SS,N,N,SFMTA,ON,0,1216,GRANT AVE,6402000,Area 3,,"(37.7986843985, -122.4071348009)"
419-01050,-,0,Grey,SS,Y,N,SFMTA,ON,0,105,FRANKLIN ST,5798000,Area 5,Civic Center,"(37.7754903984, -122.4210994986)"
563-05360,-,0,Grey,SS,Y,N,SFMTA,ON,0,536,MCALLISTER ST,8895000,Area 5,Civic Center,"(37.7799963978, -122.4215430019)"
446-02180,-,0,Grey,SS,N,N,SFMTA,ON,0,218,GROVE ST,6555000,Area 5,Civic Center,"(37.7781881028, -122.4207701010)"
331-06630,-,0,Grey,SS,Y,N,SFMTA,ON,0,663,BRYANT ST,3285000,Area 5,South Embarcadero,"(37.7782731009, -122.3995382988)"
826-06320,826-06002,32,Grey,MS,N,N,PORT,ON,0,632,DELANCEY ST,117000,Area 5,South Embarcadero,"(37.7833258015, -122.3896457029)"
818-01920,818-01006,92,Grey,MS,N,N,PORT,ON,0,192,BRANNAN ST,3071000,Area 5,South Embarcadero,"(37.7837839005, -122.3897781984)"
612-13010,-,0,Grey,SS,N,N,SFMTA,ON,0,1301,POLK ST,10567000,Area 3,,"(37.7888044984, -122.4204067008)"
500-15310,-,0,Grey,SS,N,N,SFMTA,ON,0,1531,JACKSON ST,7395000,Area 3,,"(37.7941692014, -122.4207812992)"
500-15370,-,0,Grey,SS,N,N,SFMTA,ON,0,1537,JACKSON ST,7395000,Area 3,,"(37.7941406024, -122.4210071021)"
330-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,330,BRANNAN ST,3075000,Area 5,South Embarcadero,"(37.7814555072, -122.3927176148)"
350-04360,-,0,Yellow,SS,N,N,SFMTA,ON,0,436,CALIFORNIA ST,3529000,Area 5,Downtown,"(37.7929673986, -122.4023346973)"
593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,3,OFARRELL ST,9720000,Area 5,Downtown,"(37.7867430978, -122.4050872025)"
666-11300,-,0,Yellow,SS,N,N,SFMTA,ON,0,1130,SUTTER ST,12329000,Area 3,,"(37.7879197997, -122.4193208979)"
211-02050,-,0,Grey,SS,N,N,SFMTA,ON,0,205,11TH ST,512000,Area 3,,"(37.7729734023, -122.4152714999)"
211-02250,-,0,Grey,SS,N,N,SFMTA,ON,0,225,11TH ST,513000,Area 3,,"(37.7726360977, -122.4148485993)"
327-07210,-,0,Grey,SS,N,N,SFMTA,ON,0,721,BROADWAY,3155000,Area 3,,"(37.7974500013, -122.4093833023)"
443-03260,-,0,Grey,SS,Y,N,SFMTA,ON,0,326,GOUGH ST,6318000,Area 5,Civic Center,"(37.7766097010, -122.4228390006)"
211-02560,-,0,Grey,SS,N,N,SFMTA,ON,0,256,11TH ST,514000,Area 3,,"(37.7718951990, -122.4142126978)"
331-08650,-,0,Green,SS,N,N,SFMTA,ON,0,865,BRYANT ST,3292000,Area 3,,"(37.7745614991, -122.4042347015)"
336-12360,-,0,Grey,SS,N,N,SFMTA,ON,0,1236,BUSH ST,3442000,Area 3,,"(37.7890312054, -122.4181710184)"
336-13380,-,0,Grey,SS,N,N,SFMTA,ON,0,1338,BUSH ST,3443000,Area 3,,"(37.7888131988, -122.4198892021)"
350-14400,-,0,Grey,SS,N,N,SFMTA,ON,0,1440,CALIFORNIA ST,3547000,Area 3,,"(37.7909078979, -122.4187152998)"
401-07110,-,0,Grey,SS,N,N,SFMTA,ON,0,711,ELLIS ST,5178000,Area 3,,"(37.7841206015, -122.4182124023)"
401-07150,-,0,Grey,SS,N,N,SFMTA,ON,0,715,ELLIS ST,5178000,Area 3,,"(37.7841113982, -122.4182847996)"
402-01280,-,0,Grey,SS,N,N,SFMTA,ON,0,128,ELM ST,5202000,Area 5,Civic Center,"(37.7816164018, -122.4198247005)"
359-07250,-,0,Yellow,SS,N,N,SFMTA,ON,0,725,CLAY ST,4088000,Area 5,Downtown,"(37.7943017975, -122.4056782999)"
542-07010,-,0,Grey,SS,N,N,SFMTA,ON,0,701,LARKIN ST,8128000,Area 3,,"(37.7844044016, -122.4178213977)"
442-05300,-,0,Grey,SS,N,N,SFMTA,ON,0,530,GOLDEN GATE AVE,6265000,Area 5,Civic Center,"(37.7811897014, -122.4197242015)"
650-07070,-,0,Grey,SS,N,N,SFMTA,ON,0,707,SACRAMENTO ST,11228000,Area 5,Downtown,"(37.7934733973, -122.4050118995)"
650-07330,-,0,Yellow,SS,N,N,SFMTA,ON,0,733,SACRAMENTO ST,11228000,Area 5,Downtown,"(37.7933870972, -122.4056890008)"
472-01310,-,0,Yellow,SS,N,N,SFMTA,ON,0,131,HYDE ST,7115000,Area 5,Civic Center,"(37.7824279991, -122.4157389027)"
542-03080,542-03002,8,Grey,MS,Y,N,SFMTA,ON,0,308,LARKIN ST,8123000,Area 5,Civic Center,"(37.7808169973, -122.4169404988)"
612-05030,-,0,Grey,SS,N,N,SFMTA,ON,0,503,POLK ST,10552000,Area 5,Civic Center,"(37.7814086982, -122.4189179015)"
401-08430,-,0,Green,SS,N,N,SFMTA,ON,0,843,ELLIS ST,5179000,Area 3,,"(37.7837946013, -122.4207723026)"
686-04320,-,0,Yellow,SS,N,N,SFMTA,ON,0,432,TURK ST,12720000,Area 5,Civic Center,"(37.7824968983, -122.4168718007)"
202-04330,-,0,Grey,SS,Y,N,SFMTA,ON,0,433,02ND ST,140000,Area 5,South Embarcadero,"(37.7837083013, -122.3942516983)"
400-08070,-,0,Green,SS,N,N,SFMTA,ON,0,807,EDDY ST,5066000,Area 5,Civic Center,"(37.7827884992, -122.4212299992)"
720-07160,-,0,Grey,SS,N,N,SFMTA,ON,0,716,WASHINGTON ST,13411000,Area 5,Downtown,"(37.7952958018, -122.4055867975)"
444-06050,-,0,Yellow,SS,N,N,SFMTA,ON,0,605,GRANT AVE,6392000,Area 5,Downtown,"(37.7926840008, -122.4060283002)"
614-07440,-,0,Grey,SS,N,N,SFMTA,ON,0,744,POST ST,10635000,Area 3,,"(37.7875462015, -122.4147987996)"
614-08030,-,0,Grey,SS,N,N,SFMTA,ON,0,803,POST ST,10636000,Area 3,,"(37.7873594024, -122.4152043999)"
614-08090,-,0,Grey,SS,N,N,SFMTA,ON,0,809,POST ST,10636000,Area 3,,"(37.7873308984, -122.4154309013)"
400-08430,-,0,Grey,SS,N,N,SFMTA,ON,0,843,EDDY ST,5066000,Area 5,Civic Center,"(37.7826662016, -122.4221906995)"
205-03120,-,0,Grey,SS,N,N,SFMTA,ON,0,312,05TH ST,299000,Area 5,South Embarcadero,"(37.7798804984, -122.4030617994)"
205-03500,-,0,Yellow,SS,N,N,SFMTA,ON,0,350,05TH ST,301000,Area 5,South Embarcadero,"(37.7792830978, -122.4023119991)"
411-01350,411-01003,35,Grey,MS,Y,N,SFMTA,ON,0,135,FELL ST,5440000,Area 5,Civic Center,"(37.7761496254, -122.4206881355)"
664-08050,-,0,Yellow,SS,N,N,SFMTA,ON,0,805,STOCKTON ST,12204000,Area 2,,"(37.7933317990, -122.4078382996)"
664-09120,-,0,Yellow,SS,N,N,SFMTA,ON,0,912,STOCKTON ST,12205000,Area 2,,"(37.7944192001, -122.4079021976)"
208-01130,-,0,Yellow,SS,N,N,SFMTA,ON,0,113,08TH ST,406000,Area 2,,"(37.7771697015, -122.4126507022)"
208-02360,-,0,Yellow,SS,N,N,SFMTA,ON,0,236,08TH ST,410000,Area 2,,"(37.7754452982, -122.4107946024)"
208-02610,-,0,Grey,SS,N,N,SFMTA,ON,0,261,08TH ST,411000,Area 2,,"(37.7751383976, -122.4101089013)"
701-08280,-,0,Grey,SS,N,N,SFMTA,ON,0,828,VAN NESS AVE,13150202,Area 3,,"(37.7836367981, -122.4208051988)"
701-09030,-,0,Grey,SS,N,N,SFMTA,ON,0,903,VAN NESS AVE,13151101,Area 3,,"(37.7839594007, -122.4211963990)"
720-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,WASHINGTON ST,13418000,Area 3,,"(37.7948460010, -122.4085237996)"
470-08110,-,0,Green,SS,N,N,SFMTA,ON,0,811,HOWARD ST,7039001,Area 5,Downtown,"(37.7829070025, -122.4030039978)"
470-08270,-,0,Grey,SS,N,N,SFMTA,ON,0,827,HOWARD ST,7039001,Area 5,Downtown,"(37.7826299024, -122.4033547022)"
400-02300,-,0,Grey,SS,N,N,SFMTA,ON,0,230,EDDY ST,5060000,Area 2,,"(37.7840815977, -122.4119585973)"
400-02380,-,0,Grey,SS,N,N,SFMTA,ON,0,238,EDDY ST,5060000,Area 2,,"(37.7840441977, -122.4122535006)"
464-03241,464-03240,1,Black,MS,N,N,SFMTA,ON,0,324,HAYES ST,6815000,Area 5,Civic Center,"(37.7770441015, -122.4222075974)"
203-03470,-,0,Red,SS,Y,N,SFMTA,ON,0,347,03RD ST,170000,Area 5,South Embarcadero,"(37.7831934010, -122.3980395977)"
203-03650,-,0,Grey,SS,Y,N,SFMTA,ON,0,365,03RD ST,171000,Area 5,South Embarcadero,"(37.7828563982, -122.3976189994)"
203-04150,-,0,Red,SS,Y,N,SFMTA,ON,0,415,03RD ST,172000,Area 5,South Embarcadero,"(37.7822773986, -122.3968862982)"
203-04480,-,0,Grey,SS,Y,N,SFMTA,ON,0,448,03RD ST,174000,Area 5,South Embarcadero,"(37.7816171002, -122.3963626024)"
203-07240,-,0,Grey,SS,Y,N,SFMTA,ON,0,724,03RD ST,180000,Area 5,South Embarcadero,"(37.7782580973, -122.3921616987)"
500-02270,-,0,Grey,SS,Y,N,SFMTA,ON,0,227,JACKSON ST,7361000,Area 5,Downtown,"(37.7967693013, -122.4004003999)"
562-04120,-,0,Grey,SS,N,N,SFMTA,ON,0,412,MASON ST,8805000,Area 1,,"(37.7875092988, -122.4098779016)"
562-04130,-,0,Grey,SS,N,N,SFMTA,ON,0,413,MASON ST,8805000,Area 1,,"(37.7874464010, -122.4099994001)"
331-04880,-,0,Yellow,SS,Y,N,SFMTA,ON,0,488,BRYANT ST,3281000,Area 5,South Embarcadero,"(37.7816286002, -122.3956084994)"
331-03620,-,0,Grey,SS,Y,N,SFMTA,ON,0,362,BRYANT ST,3279000,Area 5,South Embarcadero,"(37.7836662018, -122.3929984027)"
684-00680,-,0,Grey,SS,Y,N,SFMTA,ON,0,68,TOWNSEND ST,12655000,Area 5,South Embarcadero,"(37.7810468011, -122.3901254998)"
593-00040,-,0,Yellow,SS,N,N,SFMTA,ON,0,4,OFARRELL ST,9720000,Area 5,Downtown,"(37.7868507997, -122.4050828998)"
463-01030,-,0,Yellow,SS,Y,N,SFMTA,ON,0,103,HAWTHORNE ST,6810000,Area 5,South Embarcadero,"(37.7845384003, -122.3975664002)"
463-01260,-,0,Red,SS,Y,N,SFMTA,ON,0,126,HAWTHORNE ST,6810000,Area 5,South Embarcadero,"(37.7840466005, -122.3971261994)"
684-01670,-,0,Grey,SS,Y,N,SFMTA,ON,0,167,TOWNSEND ST,12657000,Area 5,South Embarcadero,"(37.7792793986, -122.3920578022)"
336-08110,-,0,Grey,SS,N,N,SFMTA,ON,0,811,BUSH ST,3438000,Area 1,,"(37.7898378027, -122.4107858014)"
336-08170,-,0,Grey,SS,N,N,SFMTA,ON,0,817,BUSH ST,3438000,Area 1,,"(37.7898126011, -122.4109874980)"
562-05040,-,0,Yellow,SS,N,N,SFMTA,ON,0,504,MASON ST,8806000,Area 1,,"(37.7882558973, -122.4100199022)"
562-05060,-,0,Yellow,SS,N,N,SFMTA,ON,0,506,MASON ST,8806000,Area 1,,"(37.7883163978, -122.4100324024)"
582-00090,-,0,Red,SS,N,N,SFMTA,ON,0,9,NEW MONTGOMERY ST,9540000,Area 5,Downtown,"(37.7884496980, -122.4016297010)"
582-01030,-,0,Red,SS,N,N,SFMTA,ON,0,103,NEW MONTGOMERY ST,9544000,Area 5,Downtown,"(37.7873499979, -122.4003047009)"
562-06190,-,0,Grey,SS,N,N,SFMTA,ON,0,619,MASON ST,8807000,Area 1,,"(37.7895493981, -122.4104191993)"
614-04300,-,0,Red,SS,N,N,SFMTA,ON,0,430,POST ST,10629000,Area 1,,"(37.7882069022, -122.4095667989)"
471-06590,-,0,Grey,SS,N,N,SFMTA,ON,0,659,HARRISON ST,6716000,Area 5,South Embarcadero,"(37.7829049014, -122.3967683983)"
204-05080,204-05002,8,Grey,MS,Y,N,SFMTA,ON,0,508,04TH ST,262000,Area 5,South Embarcadero,"(37.7792519004, -122.3978353978)"
204-05240,204-05004,24,Grey,MS,Y,N,SFMTA,ON,0,524,04TH ST,263000,Area 5,South Embarcadero,"(37.7788859018, -122.3973757007)"
204-05280,204-05004,28,Grey,MS,Y,N,SFMTA,ON,0,528,04TH ST,263000,Area 5,South Embarcadero,"(37.7788083021, -122.3972782974)"
580-00350,-,0,Grey,SS,N,N,SFMTA,ON,0,35,NATOMA ST,9507000,Area 5,Downtown,"(37.7883767017, -122.3972537164)"
204-06230,-,0,Grey,SS,Y,N,SFMTA,ON,0,623,04TH ST,265000,Area 5,South Embarcadero,"(37.7778623988, -122.3957848993)"
666-06400,-,0,Yellow,SS,N,N,SFMTA,ON,0,640,SUTTER ST,12324000,Area 1,,"(37.7888857973, -122.4117565990)"
681-07030,-,0,Red,SS,N,N,SFMTA,ON,0,703,TAYLOR ST,12437000,Area 1,,"(37.7890526977, -122.4120065027)"
582-01410,-,0,Grey,SS,N,N,SFMTA,ON,0,141,NEW MONTGOMERY ST,9546000,Area 5,Downtown,"(37.7864862987, -122.3992276990)"
330-04930,-,0,Grey,SS,Y,N,SFMTA,ON,0,493,BRANNAN ST,3079000,Area 5,South Embarcadero,"(37.7784611014, -122.3962015972)"
684-02240,-,0,Grey,SS,Y,N,SFMTA,ON,0,224,TOWNSEND ST,12660000,Area 5,South Embarcadero,"(37.7783668999, -122.3935151023)"
684-02700,-,0,Grey,SS,Y,N,SFMTA,ON,0,270,TOWNSEND ST,12662000,Area 5,South Embarcadero,"(37.7775640980, -122.3945359007)"
202-05050,-,0,Grey,SS,Y,N,SFMTA,ON,0,505,02ND ST,142000,Area 5,South Embarcadero,"(37.7830018018, -122.3933664017)"
202-05130,-,0,Grey,SS,Y,N,SFMTA,ON,0,513,02ND ST,143000,Area 5,South Embarcadero,"(37.7828648024, -122.3931952991)"
580-00930,-,0,Grey,SS,N,N,SFMTA,ON,0,93,NATOMA ST,9507000,Area 5,Downtown,"(37.7874220991, -122.3984658008)"
580-00970,-,0,Grey,SS,N,N,SFMTA,ON,0,97,NATOMA ST,9507000,Area 5,Downtown,"(37.7873291996, -122.3985838012)"
614-11020,-,0,Grey,SS,N,N,SFMTA,ON,0,1102,POST ST,10640000,Area 3,,"(37.7868644007, -122.4200644006)"
614-11290,-,0,Grey,SS,N,N,SFMTA,ON,0,1129,POST ST,10640000,Area 3,,"(37.7866253992, -122.4208900013)"
616-13040,-,0,Grey,SS,N,N,SFMTA,ON,0,1304,POWELL ST,10691000,Area 3,,"(37.7966879019, -122.4100227018)"
616-13170,-,0,Grey,SS,N,N,SFMTA,ON,0,1317,POWELL ST,10692000,Area 3,,"(37.7969695003, -122.4102558975)"
542-00150,-,0,Grey,SS,Y,N,SFMTA,ON,0,15,LARKIN ST,8120000,Area 5,Civic Center,"(37.7782686976, -122.4165845976)"
542-00210,-,0,Grey,SS,Y,N,SFMTA,ON,0,21,LARKIN ST,8120000,Area 5,Civic Center,"(37.7784636998, -122.4166221988)"
650-08230,-,0,Grey,SS,N,N,SFMTA,ON,0,823,SACRAMENTO ST,11230000,Area 2,,"(37.7932365023, -122.4069190004)"
327-06120,-,0,Grey,SS,N,N,SFMTA,ON,0,612,BROADWAY,3154000,Area 3,,"(37.7978408997, -122.4075485987)"
327-06460,-,0,Yellow,SS,N,N,SFMTA,ON,0,646,BROADWAY,3154000,Area 3,,"(37.7977273975, -122.4084617008)"
563-03560,563-03006,56,Green,MS,Y,N,SFMTA,ON,0,356,MCALLISTER ST,8893000,Area 5,Civic Center,"(37.7804108997, -122.4182884988)"
701-03140,701-03002,14,Grey,MS,Y,N,SFMTA,ON,0,314,VAN NESS AVE,13146201,Area 5,Civic Center,"(37.7788723008, -122.4198420008)"
701-04030,701-04001,3,Grey,MS,Y,N,SFMTA,ON,0,403,VAN NESS AVE,13146101,Area 5,Civic Center,"(37.7792177972, -122.4202377998)"
500-04240,500-04004,24,Grey,MS,Y,N,SFMTA,ON,0,424,JACKSON ST,7365000,Area 5,Downtown,"(37.7965506007, -122.4027601012)"
440-08401,440-08400,1,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3,,"(37.7862086006, -122.4177344997)"
600-07330,-,0,Grey,SS,N,N,SFMTA,ON,0,733,PACIFIC AVE,10128000,Area 2,,"(37.7967274980, -122.4079048016)"
470-08530,-,0,Grey,SS,N,N,SFMTA,ON,0,853,HOWARD ST,7039001,Area 5,Downtown,"(37.7822235980, -122.4038688985)"
205-03270,-,0,Grey,SS,N,N,SFMTA,ON,0,327,05TH ST,300002,Area 5,South Embarcadero,"(37.7797694997, -122.4026172009)"
205-03410,-,0,Grey,SS,N,N,SFMTA,ON,0,341,05TH ST,300003,Area 5,South Embarcadero,"(37.7796131995, -122.4024210979)"
363-01130,-,0,Grey,SS,N,N,SFMTA,ON,0,113,COLUMBUS AVE,4288000,Area 2,,"(37.7964072981, -122.4047220980)"
568-11450,-,0,Grey,SS,N,N,SFMTA,ON,0,1145,MISSION ST,9101000,Area 2,,"(37.7783178993, -122.4119317026)"
206-01100,-,0,Grey,SS,N,N,SFMTA,ON,0,110,06TH ST,329000,Area 2,,"(37.7806513988, -122.4084563979)"
206-01320,-,0,Green,SS,N,N,SFMTA,ON,0,132,06TH ST,330000,Area 2,,"(37.7802871996, -122.4079996009)"
400-04360,-,0,Grey,SS,N,N,SFMTA,ON,0,436,EDDY ST,5062000,Area 2,,"(37.7836303999, -122.4154681002)"
401-03460,-,0,Yellow,SS,N,N,SFMTA,ON,0,346,ELLIS ST,5173000,Area 2,,"(37.7849473980, -122.4126444996)"
363-02180,-,0,Green,SS,N,N,SFMTA,ON,0,218,COLUMBUS AVE,4290000,Area 2,,"(37.7974298009, -122.4058888980)"
444-09030,-,0,Grey,SS,N,N,SFMTA,ON,0,903,GRANT AVE,6396000,Area 2,,"(37.7953418017, -122.4065556002)"
444-09130,-,0,Yellow,SS,N,N,SFMTA,ON,0,913,GRANT AVE,6396000,Area 2,,"(37.7955659003, -122.4066013989)"
470-09060,-,0,Yellow,SS,N,N,SFMTA,ON,0,906,HOWARD ST,7041000,Area 2,,"(37.7813589991, -122.4052500014)"
470-09850,-,0,Green,SS,N,N,SFMTA,ON,0,985,HOWARD ST,7042000,Area 2,,"(37.7799129979, -122.4067929980)"
470-10180,-,0,Grey,SS,N,N,SFMTA,ON,0,1018,HOWARD ST,7043000,Area 2,,"(37.7793829990, -122.4077515022)"
502-00110,-,0,Grey,SS,N,N,SFMTA,ON,0,11,JONES ST,7563000,Area 2,,"(37.7815178026, -122.4121711009)"
336-13080,-,0,Grey,SS,N,N,SFMTA,ON,0,1308,BUSH ST,3443000,Area 3,,"(37.7889214986, -122.4190397018)"
336-13450,-,0,Grey,SS,N,N,SFMTA,ON,0,1345,BUSH ST,3443000,Area 3,,"(37.7886528977, -122.4200824999)"
470-10870,-,0,Grey,SS,N,N,SFMTA,ON,0,1087,HOWARD ST,7046000,Area 2,,"(37.7780664981, -122.4091295988)"
502-03160,-,0,Grey,SS,N,N,SFMTA,ON,0,316,JONES ST,7566000,Area 2,,"(37.7844203998, -122.4126139001)"
502-04120,-,0,Grey,SS,N,N,SFMTA,ON,0,412,JONES ST,7567000,Area 2,,"(37.7852416978, -122.4127801021)"
568-10410,-,0,Grey,SS,N,N,SFMTA,ON,0,1041,MISSION ST,9100000,Area 2,,"(37.7801528991, -122.4096112006)"
546-00780,-,0,Yellow,SS,N,N,SFMTA,ON,0,78,LEAVENWORTH ST,8238000,Area 2,,"(37.7817258974, -122.4137552024)"
500-07040,-,0,Grey,SS,N,N,SFMTA,ON,0,704,JACKSON ST,7373000,Area 2,,"(37.7960428976, -122.4068367013)"
568-10780,-,0,Grey,SS,N,N,SFMTA,ON,0,1078,MISSION ST,9100000,Area 2,,"(37.7796192010, -122.4105459002)"
546-02250,-,0,Grey,SS,N,N,SFMTA,ON,0,225,LEAVENWORTH ST,8240000,Area 2,,"(37.7835839027, -122.4142881014)"
563-00130,-,0,Grey,SS,N,N,SFMTA,ON,0,13,MCALLISTER ST,8888000,Area 2,,"(37.7810058975, -122.4125916992)"
563-01060,-,0,Yellow,SS,N,N,SFMTA,ON,0,106,MCALLISTER ST,8890000,Area 2,,"(37.7809554999, -122.4139433985)"
701-18070,-,0,Grey,SS,N,N,SFMTA,ON,0,1807,VAN NESS AVE,13160101,Area 3,,"(37.7924417024, -122.4229112023)"
686-01250,-,0,Grey,SS,N,N,SFMTA,ON,0,125,TURK ST,12717000,Area 2,,"(37.7830269978, -122.4117438977)"
209-00540,-,0,Grey,SS,N,N,SFMTA,ON,0,54,09TH ST,447000,Area 2,,"(37.7764449061, -122.4151399154)"
419-12260,-,0,Grey,SS,N,N,SFMTA,ON,0,1226,FRANKLIN ST,5818000,Area 3,,"(37.7861968995, -122.4230832995)"
612-17140,-,0,Yellow,SS,N,N,SFMTA,ON,0,1714,POLK ST,10572000,Area 3,,"(37.7927719996, -122.4210532026)"
419-13050,-,0,Grey,SS,N,N,SFMTA,ON,0,1305,FRANKLIN ST,5819000,Area 3,,"(37.7866160002, -122.4233461001)"
419-13190,-,0,Grey,SS,N,N,SFMTA,ON,0,1319,FRANKLIN ST,5820000,Area 3,,"(37.7870024004, -122.4234242977)"
419-13220,-,0,Grey,SS,N,N,SFMTA,ON,0,1322,FRANKLIN ST,5820000,Area 3,,"(37.7870870017, -122.4232635998)"
419-05130,419-05001,13,Grey,MS,Y,N,SFMTA,ON,0,513,FRANKLIN ST,5805000,Area 5,Civic Center,"(37.7794191976, -122.4218909011)"
446-00150,446-00001,15,Grey,MS,Y,N,SFMTA,ON,0,15,GROVE ST,6552000,Area 5,Civic Center,"(37.7786923022, -122.4156497025)"
472-09190,-,0,Grey,SS,N,N,SFMTA,ON,0,919,HYDE ST,7124000,Area 3,,"(37.7895968006, -122.4171919000)"
542-10110,-,0,Green,SS,N,N,SFMTA,ON,0,1011,LARKIN ST,8134000,Area 3,,"(37.7874228981, -122.4184281022)"
446-00540,446-00004,54,Grey,MS,Y,N,SFMTA,ON,0,54,GROVE ST,6553000,Area 5,Civic Center,"(37.7787391012, -122.4170383995)"
446-00770,446-00005,77,Grey,MS,Y,N,SFMTA,ON,0,77,GROVE ST,6553000,Area 5,Civic Center,"(37.7784390011, -122.4178448000)"
446-01170,446-01001,17,Green,MS,Y,N,SFMTA,ON,0,117,GROVE ST,6554000,Area 5,Civic Center,"(37.7783031025, -122.4189123024)"
666-13080,-,0,Grey,SS,N,N,SFMTA,ON,0,1308,SUTTER ST,12331000,Area 3,,"(37.7875408986, -122.4223051013)"
666-13350,-,0,Grey,SS,N,N,SFMTA,ON,0,1335,SUTTER ST,12331000,Area 3,,"(37.7873063048, -122.4231720194)"
401-06030,-,0,Grey,SS,N,N,SFMTA,ON,0,603,ELLIS ST,5177000,Area 3,,"(37.7843639002, -122.4162650012)"
500-01090,-,0,Yellow,SS,Y,N,SFMTA,ON,0,109,JACKSON ST,7360000,Area 5,Downtown,"(37.7969770999, -122.3987700974)"
500-02030,-,0,Grey,SS,Y,N,SFMTA,ON,0,203,JACKSON ST,7361000,Area 5,Downtown,"(37.7968566016, -122.3997160007)"
562-00140,-,0,Grey,SS,N,N,SFMTA,ON,0,14,MASON ST,8799000,Area 1,,"(37.7838284978, -122.4091318005)"
562-00280,-,0,Red,SS,N,N,SFMTA,ON,0,28,MASON ST,8799000,Area 1,,"(37.7841815994, -122.4092027002)"
562-02100,-,0,Grey,SS,N,N,SFMTA,ON,0,210,MASON ST,8801000,Area 1,,"(37.7856173132, -122.4094962624)"
542-03120,542-03002,12,Grey,MS,Y,N,SFMTA,ON,0,312,LARKIN ST,8123000,Area 5,Civic Center,"(37.7809256994, -122.4169625991)"
203-03020,-,0,Grey,SS,Y,N,SFMTA,ON,0,302,03RD ST,170000,Area 5,South Embarcadero,"(37.7836310984, -122.3988905006)"
570-01140,-,0,Yellow,SS,N,N,SFMTA,ON,0,114,MINNA ST,9040000,Area 5,Downtown,"(37.7873034001, -122.3996543881)"
471-05220,-,0,Grey,SS,Y,N,SFMTA,ON,0,522,HARRISON ST,6712000,Area 5,South Embarcadero,"(37.7856548977, -122.3936181997)"
